isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-75	87	KPN580	CHIFF	C	N	4	7	5.4	35.6	11.4	NA	20.3	49	NA	NA	NA	27.8	3	O	4	63	9.7	4	1	RJ	11:30	28/10/2017	31	O	Y	4	8.777	0.0952	61.56	8.588803088
-77.5	104	KPN587	CHIFF	C	N	5	8	7.2	38.6	11.8	NA	20.4	52	NA	NA	NA	27.4	4	NA	NA	63	8.2	2	1	RJ	12:40	28/10/2017	31	O	Y	4	7.42	0.073	84.96	7.172770702
-51.3	57	KPN599	CHIFF	C	N	4	8	9.5	38.8	12.7	NA	21.3	53	NA	NA	NA	27.1	4	NA	NA	64	8	2	1	RJ	13:20	28/10/2017	31	O	Y	4	7.002	0.05	120.65	6.287917988
-58	79	KPN612	CHIFF	C	N	4	8.5	7.8	38	12.2	NA	20.2	52	NA	NA	NA	27.1	4	NA	NA	64	8	2	1	RJ	14:00	28/10/2017	31	O	Y	4	7.002	0.0687	95.16	7.170754067
-62.1	25	KPN616	CHIFF	A	N	4	8	6.7	38	12.9	NA	20	51	NA	NA	NA	28	3	O	3	65	8	2	1	RJ	08:40	30/10/2017	33	O	Y	4	6.776	0.0953	86.43	7.349741512
-57.4	16	KPN654	CHIFF	C	N	4	9.5	7.2	31.3	11.1	NA	17.9	44	NA	NA	NA	26.6	3	O	3	55	6.4	1	2	RJ	08:50	30/10/2017	33	O	Y	4	7.717	0.0709	79.92	7.739840462
-64	53	KPN658	CHIFF	C	N	4	8.5	7	37.8	11.8	NA	20	52	NA	NA	NA	27	3	O	3	65	8	1	1	RJ	09:00	30/10/2017	33	O	Y	4	6.776	0.0738	82.6	7.349741512
-66.4	77	KPN644	CHIFF	C	N	4	8	7.4	39.5	12.1	NA	19.9	49	NA	NA	NA	27.4	4	NA	NA	64	8	2	1	RJ	09:20	30/10/2017	33	O	Y	4	7.002	0.0734	89.54	7.441592829
-80	100	KPN693	CHIFF	C	N	4	7.5	6.3	36.4	11.7	NA	18.9	49	NA	NA	NA	27.4	3	O	5	64	8.5	2	1	RJ	10:45	30/10/2017	33	O	Y	4	7.439	0.0843	73.71	8.984099984
-80.8	29	KPN925	CHIFF	C	N	4	8.5	6.5	36.9	11.2	NA	19.3	51	NA	NA	NA	27.1	3	O	4	63	7.1	0	1	RJ	13:00	30/10/2017	33	O	Y	4	6.424	0.0746	72.8	7.124882559
-106.6	12	KPN997	CHIFF	T	N	4.5	9	5.5	37	10.4	NA	20	50	NA	NA	NA	26.8	3	O	5	64	7.3	2	1	RJ	12:00	01/11/2017	35	N	Y	4	6.389	0.0765	57.2	6.70663913
-63.7	105	KPN813	CHIFF	C	N	4	9	6.8	33	13.2	NA	19.4	45	NA	NA	NA	27.4	3	O	4	57	6.6	0	2	RJ	15:30	01/11/2017	35	N	Y	4	7.379	0.1122	89.76	6.538862532
-122.1	32	KPN815	CHIFF	T	N	5	10	7.8	39.4	10.7	NA	19.4	52	NA	NA	NA	27	3	O	5	65	9.5	3	1	RJ	15:40	01/11/2017	35	N	Y	4	8.046	0.0446	83.46	9.411999099
-64.8	1	KPN872	CHIFF	C	N	4.5	8	5.4	32.9	11.3	NA	19.4	45	NA	NA	NA	27.7	3	O	0	57	6.5	1	1	RJ	11:10	02/11/2017	36	N	Y	4	7.267	0.1035	61.02	6.439788857
-73.5	78	KPN873	CHIFF	C	N	4	7.5	4.7	35.7	11.7	NA	19.5	47	NA	NA	NA	27.3	3	O	4	62	7.5	1	1	RJ	11:20	02/11/2017	36	N	Y	4	7.02	0.1129	54.99	7.33646816
-61	68	KPN870	CHIFF	C	N	5	8	7.6	36.2	11	NA	19.2	48	NA	NA	NA	27.3	3	O	5	62	7.7	1	1	RJ	11:35	02/11/2017	36	N	Y	4	7.207	0.0548	83.6	7.827085274
-62.9	14	BKN223	CHIFF	C	R	4	8	6.5	34.6	11.8	NA	19.9	NA	NA	NA	NA	26.9	3	O	4	60	7.5	1	1	RJ	08:25	06/11/2017	40	N	Y	4	7.524	0.0833	76.7	6.976493277
-93.4	10	KPN746	CHIFF	A	N	4.5	8.5	5.5	33.5	11.2	NA	19.1	NA	NA	NA	NA	27.3	3	O	0	57	6.9	1	2	RJ	10:10	06/11/2017	40	N	Y	4	7.715	0.1	61.6	7.105221156
